date,GDP,IP,EMP
2009-05-01,-0.001933897,-0.008908578,0.000675185
2009-06-01,0.000193497,-0.004350335,-0.001889275
2009-07-01,0.002851111,0.001104791,-0.000598616
2009-08-01,0.001060235,-0.002991243,-0.000221579
2009-09-01,0.006420672,0.017013633,0.00290059
2009-10-01,0.001465,5.41E-05,0.00075218
2009-11-01,0.006102453,0.01538719,0.003835667
2009-12-01,0.002279152,-0.005857187,-0.00164801
2010-01-01,0.006360191,0.010961688,0.001784727
2010-02-01,0.003130329,0.013075179,-0.000160495
2010-03-01,0.004974085,0.012735342,0.002813843
2010-04-01,-0.000806253,-0.001964682,0.003396915
2010-05-01,0.005681212,0.024484238,0.001328402
2010-06-01,0.002421866,0.006408857,0.004350687
2010-07-01,0.000768169,0.000322973,0.000552048
2010-08-01,0.003330868,0.000263318,0.001894612
2010-09-01,0.000264592,-0.004800753,-0.000392705
2010-10-01,0.004420093,0.008386254,-0.000668539
2010-11-01,0.003314728,0.00030914,0.002454981
2010-12-01,0.007111234,0.018743416,0.001672261
2011-01-01,0.002830509,-0.002309983,0.004116096
2011-02-01,-0.000327532,-0.004056127,-0.000378253
2011-03-01,0.003216845,0.011314731,0.000413162
2011-04-01,0.001234016,0.003876953,0.002214197
2011-05-01,-0.002508995,-0.017664812,-0.001086145
2011-06-01,0.003330257,0.006206721,0.002675482
2011-07-01,0.007044427,0.017571559,0.002130617
2011-08-01,0.00540076,0.010519095,0.000936497
2011-09-01,0.001421918,0.006707488,-0.000358309
2011-10-01,0.000136519,-0.006635799,-0.000786418
2011-11-01,0.000787852,-0.002575059,-0.000364506
2011-12-01,0.004715236,0.009552025,0.000931252
2012-01-01,-0.000473319,0.000115674,0.000433517
2012-02-01,-0.002601943,-0.021951951,-0.0007342
2012-03-01,0.002491265,0.001750757,0.005271944
2012-04-01,0.003427016,0.008942081,0.004843625
2012-05-01,0.001583695,-0.000579052,-0.000755988
2012-06-01,0.000509366,-0.005766775,-5.73E-06
